,STATE,AREA,AGE_ADJUSTED_CI_LOWER,AGE_ADJUSTED_CI_UPPER,AGE_ADJUSTED_RATE,COUNT,EVENT_TYPE,POPULATION,RACE,SEX,SITE,YEAR,CRUDE_CI_LOWER,CRUDE_CI_UPPER,CRUDE_RATE,FIPS,E_TOTPOP,E_PCI,EP_UNEMP,EP_NOHSDP,EP_DISABL,EP_MINRTY,EP_MUNIT,EP_POV
0,AK,AK: Aleutians East Borough (02013) - 1994+,91.7,254.0,157.4,24,Incidence,16932,All Races,Male and Female,All Cancer Sites Combined,2014-2018,90.8,210.9,141.7,02013,3425.0,32510.0,3.5,13.6,8.5,85.0,3.8,15.4
1,AK,AK: Aleutians East Borough (02013) - 1994+,,,,,Mortality,16932,All Races,Male and Female,All Cancer Sites Combined,2014-2018,,,,02013,3425.0,32510.0,3.5,13.6,8.5,85.0,3.8,15.4
2,AK,AK: Aleutians West Census Area (02016) - 1994+,247.7,556.6,383.1,68,Incidence,28677,All Races,Male and Female,All Cancer Sites Combined,2014-2018,184.1,300.6,237.1,02016,5750.0,37070.0,2.0,11.2,7.7,75.8,16.6,8.5
3,AK,AK: Aleutians West Census Area (02016) - 1994+,50.6,228.2,119.7,19,Mortality,28677,All Races,Male and Female,All Cancer Sites Combined,2014-2018,39.9,103.5,66.3,02016,5750.0,37070.0,2.0,11.2,7.7,75.8,16.6,8.5
4,AK,AK: Anchorage Municipality (02020) - 1990+,427.3,451.1,439.1,5945,Incidence,1479548,All Races,Male and Female,All Cancer Sites Combined,2014-2018,391.7,412.2,401.8,02020,296112.0,39839.0,5.6,6.2,11.1,41.5,11.4,9.2
5,AK,AK: Anchorage Municipality (02020) - 1990+,138.7,153.2,145.8,1777,Mortality,1479548,All Races,Male and Female,All Cancer Sites Combined,2014-2018,114.6,125.8,120.1,02020,296112.0,39839.0,5.6,6.2,11.1,41.5,11.4,9.2
6,AK,AK: Bethel Census Area (02050) - 1990+,306.2,417.0,358.7,220,Incidence,90222,All Races,Male and Female,All Cancer Sites Combined,2014-2018,212.7,278.3,243.8,02050,18040.0,19760.0,18.3,18.6,10.6,90.1,3.6,27.8
7,AK,AK: Bethel Census Area (02050) - 1990+,142.1,231.4,183.3,91,Mortality,90222,All Races,Male and Female,All Cancer Sites Combined,2014-2018,81.2,123.8,100.9,02050,18040.0,19760.0,18.3,18.6,10.6,90.1,3.6,27.8
8,AK,AK: Bristol Bay Borough (02060) - 1990+,211.6,571.4,356.4,20,Incidence,4502,All Races,Male and Female,All Cancer Sites Combined,2014-2018,271.4,686.1,444.2,02060,890.0,45259.0,8.1,5.6,14.2,46.1,2.0,5.8
9,AK,AK: Bristol Bay Borough (02060) - 1990+,,,,,Mortality,4502,All Races,Male and Female,All Cancer Sites Combined,2014-2018,,,,02060,890.0,45259.0,8.1,5.6,14.2,46.1,2.0,5.8
10,AK,AK: Denali Borough (02068) - 1990+,229.6,662.9,410.2,36,Incidence,10020,All Races,Male and Female,All Cancer Sites Combined,2014-2018,251.6,497.4,359.3,02068,2232.0,34956.0,3.0,1.6,13.7,18.9,2.5,16.9
11,AK,AK: Denali Borough (02068) - 1990+,,,,,Mortality,10020,All Races,Male and Female,All Cancer Sites Combined,2014-2018,,,,02068,2232.0,34956.0,3.0,1.6,13.7,18.9,2.5,16.9
12,AK,AK: Dillingham Census Area (02070) - 1994+,289.1,478.2,375.4,77,Incidence,24872,All Races,Male and Female,All Cancer Sites Combined,2014-2018,244.3,386.9,309.6,02070,4975.0,25334.0,11.9,12.7,12.5,84.1,2.4,17.2
13,AK,AK: Dillingham Census Area (02070) - 1994+,141.9,292.0,208.0,38,Mortality,24872,All Races,Male and Female,All Cancer Sites Combined,2014-2018,108.1,209.7,152.8,02070,4975.0,25334.0,11.9,12.7,12.5,84.1,2.4,17.2
14,AK,AK: Fairbanks North Star Borough (02090) - 1990+,366.6,407.5,386.7,1640,Incidence,497763,All Races,Male and Female,All Cancer Sites Combined,2014-2018,313.7,345.8,329.5,02090,99653.0,36374.0,7.0,5.5,11.3,29.6,7.4,8.1
15,AK,AK: Fairbanks North Star Borough (02090) - 1990+,123.6,149.9,136.3,502,Mortality,497763,All Races,Male and Female,All Cancer Sites Combined,2014-2018,92.2,110.1,100.9,02090,99653.0,36374.0,7.0,5.5,11.3,29.6,7.4,8.1
16,AK,AK: Haines Borough (02100) - 1990+,250.8,456.0,341.1,56,Incidence,12614,All Races,Male and Female,All Cancer Sites Combined,2014-2018,335.4,576.5,444.0,02100,2518.0,33521.0,3.7,3.0,11.3,22.2,0.7,9.0
17,AK,AK: Haines Borough (02100) - 1990+,73.9,204.9,126.4,20,Mortality,12614,All Races,Male and Female,All Cancer Sites Combined,2014-2018,96.8,244.9,158.6,02100,2518.0,33521.0,3.7,3.0,11.3,22.2,0.7,9.0
18,AK,AK: Hoonah-Angoon Census Area (02105) - 2014+,271.8,499.9,371.6,60,Incidence,10645,All Races,Male and Female,All Cancer Sites Combined,2014-2018,430.1,725.5,563.6,02105,2132.0,35355.0,10.9,8.5,15.5,56.8,0.5,9.7
19,AK,AK: Hoonah-Angoon Census Area (02105) - 2015+,114.6,269.6,178.0,29,Mortality,10645,All Races,Male and Female,All Cancer Sites Combined,2014-2018,182.4,391.3,272.4,02105,2132.0,35355.0,10.9,8.5,15.5,56.8,0.5,9.7
20,AK,AK: Juneau City and Borough (02110) - 1990+,369.3,434.5,400.9,689,Incidence,161643,All Races,Male and Female,All Cancer Sites Combined,2014-2018,395.0,459.3,426.2,02110,32330.0,43276.0,5.8,3.9,11.8,35.0,11.7,7.9
21,AK,AK: Juneau City and Borough (02110) - 1990+,132.5,176.5,153.4,230,Mortality,161643,All Races,Male and Female,All Cancer Sites Combined,2014-2018,124.5,161.9,142.3,02110,32330.0,43276.0,5.8,3.9,11.8,35.0,11.7,7.9
22,AK,AK: Kenai Peninsula Borough (02122) - 1990+,412.7,458.8,435.3,1599,Incidence,291169,All Races,Male and Female,All Cancer Sites Combined,2014-2018,522.6,576.8,549.2,02122,58220.0,33820.0,7.8,7.2,14.6,19.4,2.9,12.0
23,AK,AK: Kenai Peninsula Borough (02122) - 1990+,152.9,182.7,167.3,571,Mortality,291169,All Races,Male and Female,All Cancer Sites Combined,2014-2018,180.3,212.9,196.1,02122,58220.0,33820.0,7.8,7.2,14.6,19.4,2.9,12.0
24,AK,AK: Ketchikan Gateway Borough (02130) - 1990+,388.8,488.0,436.2,344,Incidence,68901,All Races,Male and Female,All Cancer Sites Combined,2014-2018,447.9,554.9,499.3,02130,13804.0,34900.0,6.6,7.3,14.6,36.0,13.3,10.5
25,AK,AK: Ketchikan Gateway Borough (02130) - 1990+,111.4,168.9,137.9,104,Mortality,68901,All Races,Male and Female,All Cancer Sites Combined,2014-2018,123.3,182.9,150.9,02130,13804.0,34900.0,6.6,7.3,14.6,36.0,13.3,10.5
26,AK,AK: Kodiak Island Borough (02150) - 1990+,350.2,462.5,403.5,248,Incidence,68164,All Races,Male and Female,All Cancer Sites Combined,2014-2018,320.0,412.0,363.8,02150,13649.0,32516.0,5.2,10.1,12.8,50.5,10.7,9.3
27,AK,AK: Kodiak Island Borough (02150) - 1990+,110.0,182.8,143.3,76,Mortality,68164,All Races,Male and Female,All Cancer Sites Combined,2014-2018,87.8,139.6,111.5,02150,13649.0,32516.0,5.2,10.1,12.8,50.5,10.7,9.3
28,AK,AK: Kusilvak Census Area (02158),303.2,486.7,387.8,89,Incidence,41034,All Races,Male and Female,All Cancer Sites Combined,2014-2018,174.2,266.9,216.9,02158,8198.0,12578.0,28.9,22.3,11.0,96.4,0.5,40.5
29,AK,AK: Lake and Peninsula Borough (02164) - 1994+,286.5,641.3,439.5,30,Incidence,8050,All Races,Male and Female,All Cancer Sites Combined,2014-2018,251.4,532.0,372.7,02164,1375.0,24571.0,15.7,14.5,13.9,77.8,0.1,15.9
30,AK,AK: Lake and Peninsula Borough (02164) - 1994+,,,,,Mortality,8050,All Races,Male and Female,All Cancer Sites Combined,2014-2018,,,,02164,1375.0,24571.0,15.7,14.5,13.9,77.8,0.1,15.9
31,AK,AK: Matanuska-Susitna Borough (02170) - 1990+,408.2,447.7,427.6,2129,Incidence,516631,All Races,Male and Female,All Cancer Sites Combined,2014-2018,394.8,430.0,412.1,02170,103464.0,30943.0,9.5,7.6,13.2,20.5,1.9,10.3
32,AK,AK: Matanuska-Susitna Borough (02170) - 1990+,155.3,182.3,168.4,731,Mortality,516631,All Races,Male and Female,All Cancer Sites Combined,2014-2018,131.4,152.1,141.5,02170,103464.0,30943.0,9.5,7.6,13.2,20.5,1.9,10.3
33,AK,AK: Nome Census Area (02180) - 1990+,391.3,555.5,468.5,164,Incidence,49747,All Races,Male and Female,All Cancer Sites Combined,2014-2018,281.1,384.2,329.7,02180,9925.0,22293.0,16.7,15.9,10.0,85.2,3.0,23.1
34,AK,AK: Nome Census Area (02180) - 1990+,152.3,270.1,205.8,63,Mortality,49747,All Races,Male and Female,All Cancer Sites Combined,2014-2018,97.3,162.0,126.6,02180,9925.0,22293.0,16.7,15.9,10.0,85.2,3.0,23.1
35,AK,AK: North Slope Borough (02185) - 1990+,345.0,516.3,425.0,141,Incidence,48903,All Races,Male and Female,All Cancer Sites Combined,2014-2018,242.7,340.0,288.3,02185,9797.0,49903.0,9.0,10.2,10.1,68.9,9.6,9.3
36,AK,AK: North Slope Borough (02185) - 1990+,159.6,288.5,218.0,63,Mortality,48903,All Races,Male and Female,All Cancer Sites Combined,2014-2018,99.0,164.8,128.8,02185,9797.0,49903.0,9.0,10.2,10.1,68.9,9.6,9.3
37,AK,AK: Northwest Arctic Borough (02188) - 1990+,324.2,480.0,396.8,113,Incidence,38724,All Races,Male and Female,All Cancer Sites Combined,2014-2018,240.5,350.8,291.8,02188,7734.0,23230.0,18.7,18.1,10.1,89.1,6.8,25.1
38,AK,AK: Northwest Arctic Borough (02188) - 1990+,97.9,196.9,141.6,37,Mortality,38724,All Races,Male and Female,All Cancer Sites Combined,2014-2018,67.3,131.7,95.5,02188,7734.0,23230.0,18.7,18.1,10.1,89.1,6.8,25.1
39,AK,AK: Petersburg Census Area (02195) - 2014+,261.3,426.7,335.6,79,Incidence,16282,All Races,Male and Female,All Cancer Sites Combined,2014-2018,384.1,604.7,485.2,02195,3255.0,33227.0,4.3,10.3,18.5,37.0,4.2,8.2
40,AK,AK: Petersburg Census Area (02195) - 2015+,76.1,178.8,118.6,26,Mortality,16282,All Races,Male and Female,All Cancer Sites Combined,2014-2018,104.3,234.0,159.7,02195,3255.0,33227.0,4.3,10.3,18.5,37.0,4.2,8.2
41,AK,AK: Prince of Wales-Hyder Census Area (02198) - 2014+,359.6,509.3,429.4,166,Incidence,32294,All Races,Male and Female,All Cancer Sites Combined,2014-2018,438.8,598.4,514.0,02198,6474.0,27236.0,12.1,9.8,21.4,54.6,2.2,15.2
42,AK,AK: Prince of Wales-Hyder Census Area (02198) - 2015+,110.0,208.6,153.6,56,Mortality,32294,All Races,Male and Female,All Cancer Sites Combined,2014-2018,131.0,225.2,173.4,02198,6474.0,27236.0,12.1,9.8,21.4,54.6,2.2,15.2
43,AK,AK: Prince of Wales-Outer Ketchikan CA (02201) - 1990-2013,,,,,Incidence,0,All Races,Male and Female,All Cancer Sites Combined,2014-2018,,,,02201,,,,,,,,
44,AK,AK: Prince of Wales-Outer Ketchikan CA (02201) - 1990-2014,,,,,Mortality,0,All Races,Male and Female,All Cancer Sites Combined,2014-2018,,,,02201,,,,,,,,
45,AK,AK: Sitka City and Borough (02220) - 1990+,292.0,400.4,342.9,174,Incidence,43547,All Races,Male and Female,All Cancer Sites Combined,2014-2018,342.4,463.5,399.6,02220,8738.0,38423.0,4.4,6.0,12.2,38.1,5.2,7.5
46,AK,AK: Sitka City and Borough (02220) - 1990+,107.1,176.7,138.6,71,Mortality,43547,All Races,Male and Female,All Cancer Sites Combined,2014-2018,127.3,205.7,163.0,02220,8738.0,38423.0,4.4,6.0,12.2,38.1,5.2,7.5
47,AK,AK: Skagway Municipality (02230) - 2014+,232.8,564.0,368.5,25,Incidence,5610,All Races,Male and Female,All Cancer Sites Combined,2014-2018,288.4,657.8,445.6,02230,1061.0,39842.0,6.8,6.3,11.0,16.4,0.9,5.3
48,AK,AK: Skagway Municipality (02230) - 2015+,,,,,Mortality,5610,All Races,Male and Female,All Cancer Sites Combined,2014-2018,,,,02230,1061.0,39842.0,6.8,6.3,11.0,16.4,0.9,5.3
49,AK,AK: Skagway-Hoonah-Angoon Census Area (02232) -1994-2013,,,,,Incidence,0,All Races,Male and Female,All Cancer Sites Combined,2014-2018,,,,02232,,,,,,,,
50,AK,AK: Skagway-Hoonah-Angoon Census Area (02232) -1994-2014,,,,,Mortality,0,All Races,Male and Female,All Cancer Sites Combined,2014-2018,,,,02232,,,,,,,,
51,AK,AK: Southeast Fairbanks Census Area (02240) - 1990+,346.2,486.3,411.7,160,Incidence,34423,All Races,Male and Female,All Cancer Sites Combined,2014-2018,395.6,542.7,464.8,02240,6876.0,32409.0,10.2,9.8,17.1,25.7,2.7,10.8
52,AK,AK: Southeast Fairbanks Census Area (02240) - 1990+,121.5,221.3,166.2,53,Mortality,34423,All Races,Male and Female,All Cancer Sites Combined,2014-2018,115.3,201.4,154.0,02240,6876.0,32409.0,10.2,9.8,17.1,25.7,2.7,10.8
53,AK,AK: Valdez-Cordova Census Area (02261) - 1990+,367.0,498.4,429.0,211,Incidence,46492,All Races,Male and Female,All Cancer Sites Combined,2014-2018,394.7,519.4,453.8,02261,9301.0,38507.0,6.6,4.0,12.2,30.4,6.2,8.1
